species,abv,order,family,diet,diet2,BM,RJLB,HI,CA,LMRL,p4L,p4W,m1L,m1W,m2L,m2W,m3L,m3W,LPRL,JLB,JMA,JMB,JMC,SUML,SUMW,MZW,PAW,SA,SB,SC,BL,SD,JD,SE
Addax nasomacultus,Adna  ,Art ,Bovid    ,MO    ,MO    ,111,1.512666667,4.09,156,7.50,1.44,0.85,1.64,1.09,2.47,1.12,3.17,1.09,3.47,11.35,7.98,11.15,8.13,2.55,1.62,3.86,4.91,15.85,6.95,14.30,10.68,9.10,4.30,5.03
Aepyceros melampus,Aeme  ,Art ,Bovid    ,MO    ,MO    ,53,1.560939358,4.89,148,5.61,1.11,0.57,1.38,0.76,1.81,0.83,2.41,0.72,2.65,8.75,6.00,6.91,5.82,2.10,1.14,2.92,3.84,11.43,4.96,10.30,7.79,6.66,3.60,3.26
Alces alces,Alal  ,Art ,Cerv     ,HBr   ,HBr   ,400.5,2.513888889,1.34,171,9.90,2.87,1.72,2.80,1.75,3.14,1.88,4.20,1.81,7.81,24.89,11.78,14.87,10.25,3.16,2.34,5.84,8.05,22.76,11.77,18.89,12.48,10.15,7.02,6.76
Alcelaphus buselaphus,Albu  ,Art ,Bovid    ,GG    ,GG    ,136,2.16051124,5.23,146,6.77,1.27,0.83,1.82,1.03,2.10,1.02,2.60,0.90,3.27,14.62,11.07,11.26,9.05,2.14,1.45,5.56,5.16,17.26,8.11,17.91,8.53,12.32,4.89,5.34
Ammodorcas clarkei,Amcl  ,Art ,Bovid    ,HBr   ,HBr   ,28,2.024523161,2.23,167,3.67,0.80,0.48,0.92,0.62,1.12,0.66,1.62,0.64,1.78,7.43,3.40,5.09,4.58,1.19,1.03,1.64,2.80,8.20,4.50,7.90,6.80,3.00,2.70,2.32
Ammotragus lervia,Amle  ,Art ,Bovid    ,MO    ,MO    ,86,1.236063858,4.45,135,6.37,1.23,0.72,1.50,0.89,1.89,1.03,2.52,0.95,2.99,7.87,6.39,6.92,5.67,2.06,1.33,2.82,4.67,12.33,6.07,10.33,8.00,8.69,3.52,3.36
Antilocapra americana ,Anam  ,Art ,Antil    ,MO    ,MO    ,50,2.024839006,4.61,159,5.44,1.08,0.52,1.26,0.64,1.48,0.78,2.37,0.79,2.46,11.01,6.68,6.50,5.03,1.58,1.10,3.17,4.87,12.29,5.95,9.79,6.30,7.60,3.39,2.69
Antilope cervicapra,Ance  ,Art ,Bovid    ,MO    ,MO    ,35.3,1.675847458,5.14,152,4.72,0.90,0.43,1.20,0.61,1.43,0.73,1.99,0.61,1.74,7.91,3.92,7.40,5.04,1.16,1.02,1.99,3.65,9.30,3.80,8.44,6.50,5.05,3.42,2.60
Anoa (Bubalus) depressicornis,Ande  ,Art ,Bovid    ,GG    ,GG    ,150,1.857746904,4.43,147,5.52,1.28,0.66,1.53,0.84,1.64,0.88,2.23,0.89,2.63,10.25,6.59,7.69,5.79,1.70,1.28,4.31,5.11,13.27,7.00,10.67,9.86,6.11,3.58,3.42
Antidorcas marsupialis,Anma  ,Art ,Bovid    ,MO    ,MO    ,39.1,1.257785725,4.89,155,5.16,1.01,0.42,1.34,0.67,1.53,0.76,2.21,0.67,1.37,6.49,5.28,7.21,5.45,1.64,1.08,2.07,3.27,9.74,4.68,8.95,6.49,6.13,3.44,2.85
Axis axis,Axax  ,Art ,Cerv     ,MO    ,MO    ,55,1.523049645,2.81,167,5.64,1.16,0.59,1.51,0.87,1.78,0.87,2.19,1.78,3.51,8.59,3.92,6.79,4.22,1.74,1.19,2.97,4.21,9.68,5.65,7.61,7.00,3.96,3.31,2.62
Axis porcinus,Axpo  ,Art ,Cerv     ,MC    ,MC    ,37.4,1.641921397,2.53,158,4.58,1.00,0.49,1.30,0.73,1.55,0.77,1.76,0.68,2.84,7.52,3.70,6.10,4.58,1.52,1.10,2.60,3.46,9.50,4.48,7.60,7.10,3.16,3.18,2.7
Babyrousa babyrussa,Baba  ,Art ,Suid     ,Om    ,Om    ,54.2,1.589473684,1.03,189,5.7,1.13,0.49,1.38,0.9,1.71,1.06,2.17,1.02,3.1,9.06,6,9.2,7.02,1.76,1.3,4.06,2.24,8.05,8.28,10.4,4.95,5.7,1.83,6.95
Bison bison,Bibi  ,Art ,Bovid    ,GG    ,GG    ,611,1.814243476,4.87,144,9.72,2.17,1.30,2.26,1.56,3.08,1.68,4.30,1.61,5.82,17.64,14.39,15.54,12.00,3.09,2.47,9.63,10.01,25.18,15.95,22.55,14.42,14.63,4.36,6.59
Bison bonasus,Bibo  ,Art ,Bovid    ,GG    ,GG    ,625,1.815693431,6.12,134,10.96,2.46,1.68,2.20,1.76,3.27,1.78,4.52,1.84,5.88,19.90,15.35,16.00,12.75,3.24,2.79,10.37,10.15,26.45,16.10,25.70,16.65,16.70,4.45,6.23
Blastocerus dichotomus,Bldi  ,Art ,Cerv     ,MC    ,MC    ,96,2.384469697,1.49,156,5.28,1.35,0.79,1.58,1.04,1.62,1.01,2.07,0.93,3.68,12.59,6.63,8.37,6.80,1.78,1.34,4.38,5.17,12.03,7.18,12.21,8.00,6.30,4.57,3.81
Bos banteng-javanicus,Boba  ,Art ,Bovid    ,GG    ,GG    ,500,2.043678161,5.04,148,8.70,2.46,1.24,2.75,1.41,3.40,1.30,3.25,1.20,6.38,17.78,8.85,17.06,11.14,3.07,1.94,7.04,7.95,22.00,12.04,15.52,11.45,10.20,4.30,6.78
Bos gaurus,Boga  ,Art ,Bovid    ,GG    ,MO/MC ,755,2.016129032,3.69,152,9.92,2.22,1.52,2.50,1.70,2.90,1.82,4.15,1.75,6.20,20.00,12.81,17.90,12.80,3.04,2.68,9.12,9.75,27.27,16.22,21.88,15.40,13.50,6.00,7.71
Bos indicus,Boin  ,Art ,Bovid    ,GG    ,GG    ,600,1.690848214,4.43,156,8.96,1.90,1.00,2.39,1.16,2.73,1.12,3.10,1.05,5.47,15.15,9.80,12.96,9.02,2.93,1.62,6.07,7.60,19.90,12.50,16.30,12.65,9.97,5.20,5.82
Boselaphus tragocamelus,Botr  ,Art ,Bovid    ,MO    ,MO    ,200,1.882860666,3.03,167,8.11,1.60,0.90,2.04,1.20,2.37,1.20,3.36,1.15,4.56,15.27,8.00,11.82,9.34,2.55,1.74,4.60,5.50,16.95,8.00,14.90,11.50,8.79,4.53,5.07
Bubalis bubalis,Bubu  ,Art ,Bovid    ,GG    ,GG    ,725,2.076058773,3.85,151,11.57,2.32,1.24,3.00,1.40,3.36,1.54,4.63,1.57,7.63,24.02,14.08,18.53,13.77,3.60,2.19,11.55,9.30,31.34,20.79,23.18,20.45,14.20,7.07,7.83
Budorcas taxicolor,Buta  ,Art ,Bovid    ,MO    ,MO    ,250,1.715833835,3.42,127,8.31,1.84,1.13,1.89,1.32,2.54,1.44,3.54,1.36,4.41,14.25,9.78,9.90,8.66,2.80,1.84,4.89,6.59,20.49,9.53,15.35,12.68,10.73,5.13,4.48
Camelus bactrianus,Caba  ,Art ,Camel    ,MO    ,MO    ,550,1.30988024,2.98,184,13.36,2.23,1.44,2.93,1.92,4.15,2.08,5.46,1.97,2.64,17.50,9.00,18.55,10.12,4.47,2.85,5.81,6.44,27.85,11.65,19.00,13.00,8.08,7.78,6.18
Capreolus capreolus,Caca  ,Art ,Cerv     ,Br    ,Br    ,23.40,1.828442438,1.49,163,4.43,1.15,0.75,1.22,0.84,1.34,0.86,1.73,0.82,3.11,8.10,4.06,6.03,4.42,1.39,1.15,2.57,3.89,9.93,5.00,8.00,6.48,4.32,3.38,2.73
Camelus dromedarius,Cadr  ,Art ,Camel    ,MO    ,MO   ,415,1.425772747,2.52,181,11.49,1.85,1.08,2.97,1.84,3.77,2.13,5.02,1.91,2.12,16.38,9.27,16.50,10.21,4.10,2.73,4.28,5.75,20.90,10.92,18.10,12.78,7.37,6.25,6.33
Capra ibex,Caib  ,Art ,Bovid    ,MO    ,MO    ,87,1.4160401,4.71,139,5.99,0.82,0.66,1.41,0.73,1.72,0.89,2.72,0.92,2.04,8.48,6.68,6.58,5.90,1.99,1.23,2.69,4.39,12.14,6.15,10.90,9.10,7.81,3.89,3.46
Capricornis sumatrensis,Casu  ,Art ,Bovid    ,MC    ,MC    ,102,1.966187658,3.39,159,5.92,1.45,0.92,1.52,0.98,1.81,1.11,2.48,1.03,3.83,11.63,6.86,8.51,6.78,1.84,1.74,3.52,5.82,13.80,6.44,12.36,10.03,7.53,4.08,3.82
Catagonous wagneri,Cawa  ,Art ,Suid     ,Om    ,Om    ,36,1.494736842,1.06,157,6.65,1.67,0.98,1.74,1.08,2.08,1.3,2.62,1.32,3.7,9.94,4.05,8.3,6.24,2.14,1.6,4.23,2.66,9,9.3,9.29,5.7,8.88,2.41,1.7
Cervus canadensis,Ceca  ,Art ,Cerv     ,MC    ,MC    ,325,1.81246522,1.96,158,8.99,2.15,1.20,2.28,1.52,2.85,1.49,3.53,1.35,5.83,16.29,8.82,12.58,7.60,2.86,2.24,6.68,7.23,17.60,9.64,14.82,10.55,8.23,5.33,5.79
Cephalophus dorsalis,Cedo  ,Art ,Bovid    ,Fr    ,Fr    ,21,1.921848014,1.15,156,3.86,1.03,0.50,0.94,0.71,1.18,0.80,1.55,0.80,2.69,7.42,3.45,5.83,4.21,1.25,1.11,2.47,3.43,7.68,4.58,6.92,7.33,3.56,2.17,1.89
Cervus duvaucelli,Cedu  ,Art ,Cerv     ,FG    ,FG    ,183,1.914168937,2.85,154,7.34,1.45,1.06,1.78,1.31,2.39,1.40,3.18,1.32,4.08,14.05,7.39,12.09,8.22,2.20,2.19,5.32,4.95,17.02,8.29,14.13,10.75,8.13,5.13,5.27
Cervus Elaphus scottius,Ceel  ,Art ,Cerv     ,MC    ,MC    ,153,1.775417299,2.11,166,6.59,1.49,1.01,1.82,1.14,2.09,1.26,2.46,1.02,4.38,11.70,6.45,8.35,6.33,2.11,1.81,4.14,4.85,12.63,6.85,11.45,10.00,5.49,3.68,4.14
Cephalophus monticolor,Cemo  ,Art ,Bovid    ,Fr    ,Fr    ,6,1.926593388,1.90,149,2.37,0.54,0.28,0.62,0.41,0.70,0.47,0.88,0.43,1.55,4.57,2.35,3.13,2.58,0.80,0.65,1.22,2.13,4.62,2.94,4.07,3.31,1.85,1.32,1.24
Cervus nippon,Ceni  ,Art ,Cerv     ,MC    ,MC    ,53,1.729773463,2.79,164,4.94,1.11,0.65,1.31,0.77,1.64,0.83,2.04,0.77,3.21,8.55,4.85,6.63,5.07,1.64,1.11,2.97,3.97,10.72,5.68,9.01,6.90,4.15,3.61,3.18
Ceratotherium simum,Cesm  ,Pers,Rhino    ,GG    ,GG    ,1600,1.068265683,3.90,195,16.26,4.58,2.65,4.69,2.84,5.62,2.86,5.07,2.07,12.09,17.37,21.80,26.20,20.37,6.33,4.57,6.35,10.30,35.00,28.40,37.50,23.55,17.20,11.56,10.74
Cephalophus spadix,Cesp  ,Art ,Bovid    ,Fr    ,Fr    ,57,1.98690205,1.95,160,4.39,1.04,0.54,1.23,0.72,1.31,0.82,1.61,0.81,2.95,8.72,3.53,6.18,4.36,1.40,1.16,2.80,4.04,8.06,5.17,7.60,8.06,3.82,2.55,2.27
Cephalophus silvicultor,Cesy  ,Art ,Bovid    ,Fr    ,Fr    ,65.4,1.890780731,2.23,161,6.02,1.43,0.75,1.53,1.04,1.83,1.12,2.37,1.10,4.15,11.38,5.04,9.43,6.96,1.93,1.53,3.64,4.70,11.20,5.76,9.48,9.68,5.40,3.27,3.36
Cervus Unicolor  equinus,Ceun  ,Art ,Cerv     ,MC    ,MC    ,188,1.829243,2.20,161,7.23,1.65,0.93,1.85,1.36,2.23,1.40,2.77,1.33,4.62,13.23,6.51,9.37,6.93,2.23,1.68,4.21,5.29,14.58,7.70,12.65,11.04,6.49,4.68,4.03
Choeropsis liberiensis,Chli  ,Art ,Hippo    ,Br    ,Br    ,235,1.34868127,1.37,159,7.46,1.18,0.94,2.11,1.60,2.78,2.06,3.58,1.75,6.92,10.06,7.44,12.81,10.66,2.73,2.29,7.79,3.25,14.35,9.54,12.81,11.42,5.82,5.79,3.54
Connochaetes gnou,Cogn  ,Art ,Bovid    ,GG    ,GG    ,150,1.550649351,4.75,158,7.70,1.52,0.89,1.90,1.04,2.49,1.04,3.00,0.98,2.70,11.94,10.95,9.68,8.92,2.40,1.56,6.15,5.35,18.60,8.70,19.10,11.05,10.48,5.40,6.05
Connochaetus taurinus,Cota  ,Art ,Bovid    ,GG    ,GG    ,216,2.057377049,4.94,140,7.32,1.49,0.84,1.81,0.94,2.42,1.14,3.25,1.11,2.59,15.06,11.39,13.53,9.65,2.56,1.86,6.12,6.06,18.33,10.41,18.24,10.15,13.30,6.26,5.53
Dama dama,Dada  ,Art ,Cerv     ,MC    ,MC    ,55,1.656638444,2.01,162,5.55,1.19,0.67,1.51,0.86,1.72,0.93,2.13,0.92,3.52,9.20,5.28,6.63,5.36,1.79,1.39,3.56,4.51,10.93,5.95,9.60,8.21,5.16,3.60,3.12
Damaliscus dorcas,Dado  ,Art ,Bovid    ,GG    ,GG    ,64,2.000367833,4.76,147,5.58,1.14,0.69,1.52,0.84,1.76,0.91,2.26,0.83,2.24,11.16,8.32,10.19,7.53,1.82,1.29,4.36,4.02,13.47,5.68,13.02,8.48,9.00,4.61,4.42
Damaliscus hunteri,Dahu  ,Art ,Bovid    ,GG    ,MO    ,124,1.816790693,4.14,150,6.82,1.35,0.83,1.68,0.95,2.06,1.00,2.77,0.97,2.64,12.38,10.21,10.08,7.70,2.14,1.44,4.59,4.54,15.74,6.55,15.46,8.99,11.07,4.64,5.14
Damaliscus lunatus,Dalu  ,Art ,Bovid    ,GG    ,GG    ,150,2.094892507,5.10,147,6.71,1.42,0.81,1.80,0.99,2.10,1.00,2.69,0.92,3.17,14.05,9.94,12.33,9.23,2.13,1.45,5.34,4.87,16.20,7.50,16.34,9.22,11.16,4.89,5.43
Dendrohyrax dorsalis,Dedo  ,Pers,Proc     ,Br    ,Br    ,4,1.597560976,1.53,188,1.87,0.61,0.33,0.62,0.34,0.65,0.38,0.60,0.36,1.96,2.99,1.55,4.41,3.50,0.68,0.56,1.40,1.63,4.49,2.68,4.10,3.37,1.28,0.99,1.40
Diceros bicornis,Dibi  ,Pers,Rhino    ,MO    ,MO/MC ,1100,0.976817043,2.24,206,15.96,4.33,2.11,4.89,2.42,5.09,2.90,4.75,2.20,11.13,15.59,16.85,20.56,15.36,6.12,3.74,5.65,7.90,27.75,21.47,27.50,12.39,8.58,8.75,8.98
Dicerorhinus sumatrensis,Disu  ,Pers,Rhino    ,Br    ,Br    ,800,1.637342908,1.67,196,11.14,3.29,2.04,3.13,2.16,4.10,2.10,4.02,2.10,9.05,18.24,13.55,20.36,16.00,4.97,4.06,6.90,7.80,20.50,17.05,24.60,26.20,10.00,3.75,8.15
Dorcatragus megalotis,Dome  ,Art ,Bovid    ,MO    ,MO    ,9,1.696202532,2.93,165,3.16,0.81,0.40,0.93,0.48,0.99,0.48,1.38,0.44,2.00,5.36,2.93,4.57,3.65,1.08,0.70,1.14,2.19,6.89,3.26,5.53,4.73,2.96,2.14,1.72
Elaphodus cephalophus,Elce  ,Art ,Cerv     ,MC    ,MC    ,18,1.997432606,1.69,163,3.90,0.93,0.60,1.10,0.73,1.22,0.83,1.34,0.81,2.81,7.78,3.75,4.55,4.03,1.31,1.22,2.77,3.83,8.21,4.41,6.82,6.38,3.52,3.02,1.92
Elaphurus davidinanus,Elda  ,Art ,Cerv     ,FG   ,MO  ,175,1.901201602,2.35,161,7.49,1.85,1.08,2.19,1.16,2.45,1.18,2.63,1.11,4.98,14.24,7.97,10.91,7.11,2.47,1.83,4.59,5.69,16.73,7.43,12.55,11.55,7.60,5.27,4.60
Equus asinus,Eqas  ,Pers,Equi     ,GG    ,GG    ,220,2.121527778,8.73,162,7.20,2.40,1.30,2.13,1.20,2.15,1.16,2.52,1.04,7.28,15.28,10.15,19.05,10.15,2.11,2.15,5.11,5.89,18.20,8.73,16.35,12.20,10.30,5.48,4.20
Equusburchelli,Eqbu  ,Pers,Equi     ,GG    ,GG    ,250,2.462264151,5.83,167,7.42,2.49,1.54,2.28,1.36,2.24,1.32,2.48,1.14,8.24,18.27,11.35,22.34,11.36,2.19,2.14,5.46,6.53,22.95,10.42,20.05,14.90,11.08,5.54,4.15
Equus greyvi,Eqgr  ,Pers,Equi     ,GG    ,GG    ,400,2.420903955,5.80,171,8.85,2.90,1.71,2.56,1.71,2.55,1.68,3.10,1.51,9.30,21.43,14.63,25.86,13.56,2.68,2.59,5.89,7.20,28.23,10.67,25.15,17.45,14.10,7.18,5.40
Equus hemionus,Eqhe  ,Pers,Equi     ,GG    ,GG    ,260,2.311752988,5.79,169,7.53,2.45,1.61,2.21,1.60,2.27,1.43,2.69,1.28,7.92,17.41,12.11,20.86,11.43,2.20,2.30,5.66,6.71,22.06,8.65,19.20,13.48,10.64,5.95,4.68
Equus kiang,Eqki  ,Pers,Equi     ,GG    ,GG    ,300.00,2.281512605,6.08,172.33,7.93,2.58,1.68,2.44,1.50,2.43,1.53,2.88,1.42,8.67,18.10,11.77,20.82,11.89,2.38,2.32,5.90,6.88,22.98,9.69,20.07,12.53,10.37,5.22,5.05
Equus przewalski,Eqpr  ,Pers,Equi     ,GG    ,GG    ,350,2.038014784,5.70,170,9.47,3.02,1.71,2.98,1.75,3.14,1.67,3.21,1.26,10.19,19.30,12.55,21.35,12.20,2.93,2.64,6.00,7.80,24.20,9.82,20.20,13.25,11.00,5.90,5.20
Equus zebra,Eqze  ,Pers,Equi     ,GG    ,GG    ,281,2.343671646,7.06,167,7.83,2.53,1.52,2.35,1.40,2.49,1.48,2.83,1.28,8.14,18.36,12.51,23.76,12.86,2.44,2.41,6.40,6.46,24.01,10.38,21.38,10.34,12.50,5.92,5.10
Gazella dorcas,Gado  ,Art ,Bovid    ,MO    ,MO    ,19,1.605633803,3.62,154,3.55,0.78,0.41,0.81,0.47,1.14,0.55,1.60,0.57,2.01,5.70,3.36,4.56,4.08,1.10,0.86,1.30,2.62,7.39,3.88,7.80,6.85,3.56,2.65,1.95
Gazella granti,Gagr  ,Art ,Bovid    ,MO    ,MO    ,50,1.512117055,3.45,153,5.47,1.34,0.65,1.35,0.73,1.65,0.83,2.33,0.79,2.78,8.27,5.54,6.96,5.77,1.76,1.24,2.38,3.97,11.75,5.68,10.55,9.46,5.70,3.55,3.22
Gazella thomsoni,Gath  ,Art ,Bovid    ,MO    ,MO    ,19.3,1.422770546,3.77,152,4.29,0.86,0.46,1.06,0.55,1.30,0.64,1.86,0.62,2.10,6.10,3.97,5.54,4.37,1.35,1.00,1.69,3.04,8.89,4.38,8.09,6.80,4.45,2.94,2.11
Giraffa camelopardalis,Gica  ,Art ,Giraf    ,HBr   ,HBr   ,800,2.794642857,1.20,167,10.08,2.53,1.74,2.88,1.95,3.01,2.05,3.66,1.82,7.46,28.17,12.79,15.22,12.10,3.00,2.61,7.06,8.48,21.86,15.06,20.09,14.50,9.22,6.72,6.20
Heterohyrax brucei johnstoni?,Hebr  ,Pers,Proc     ,MO    ,MO    ,2,1.359664871,1.52,174,1.671,0.518,0.289,0.56,0.294,0.585,0.318,0.587,0.309,1.543,2.272,1.173,3.504,3.071,0.609,0.474,0.97,1.383,3.721,2.587,3.345,2.912,1.045,0.754,1.16
Hemitragus jehmlahicus,Heje  ,Art ,Bovid    ,MO    ,MO    ,80,1.48305821,4.95,140,5.76,0.96,0.65,1.31,0.83,1.75,0.98,2.61,0.95,2.55,8.54,6.14,7.72,5.53,1.75,1.32,2.82,4.02,12.10,5.73,9.66,8.45,8.12,4.74,3.67
Hippopotamus amphibius,Hiam  ,Art ,Hippo    ,FG    ,MO,1430,1.253333333,1.91,167,16.5,3.37,1.98,4.3,2.78,5.4,3.52,7.8,3,10.2,20.68,15.12,32.8,24.52,3.41,3.65,21.7,5.65,27.7,19.37,20.44,14.8,18.41,2.9,6.88
Hippocamelus bisulcus,Hibi  ,Art ,Cerv     ,MC    ,MC    ,65,2,1.94,150,5.73,1.42,0.63,1.46,0.85,1.76,0.88,2.13,0.85,3.63,11.46,5.82,6.72,5.43,1.61,1.48,3.59,4.31,11.98,6.29,9.93,8.06,6.15,3.78,3.04
Hippotragus equinus,Hieq  ,Art ,Bovid    ,GG    ,GG    ,241,1.899515738,4.28,148,8.26,1.90,1.12,2.43,1.22,2.57,1.27,3.09,0.94,5.50,15.69,8.54,13.93,9.27,2.68,1.95,5.20,6.23,17.13,8.92,17.03,14.15,10.54,5.77,6.35
Hippotragus niger ,Hini  ,Art ,Bovid    ,GG    ,GG    ,181,2.019119132,3.77,151,7.20,1.61,1.01,1.88,1.20,2.21,1.24,2.86,1.05,4.37,14.55,9.63,14.13,10.36,2.36,1.94,5.19,5.51,17.16,8.87,16.26,11.90,11.21,5.60,5.69
Hyemoschus aquaticus,Hyaq  ,Art ,Trag     ,Fr    ,Fr    ,10.8,1.476374156,1.30,172,3.46,0.86,0.25,0.94,0.49,1.03,0.59,1.32,0.59,2.68,5.10,2.48,3.38,2.52,1.02,0.81,1.51,2.27,7.32,3.61,5.02,4.84,1.88,1.34,1.37
Hydropotes inermis,Hyin  ,Art ,Cerv     ,MC    ,MC    ,12.6,2.008915305,1.84,161,3.37,0.80,0.50,0.94,0.60,1.01,0.64,1.31,0.64,2.22,6.76,2.95,3.97,3.69,1.04,0.84,2.83,3.31,7.96,3.95,5.52,5.19,2.82,2.79,2.37
Hylochoerus meinertzhageni,Hyme  ,Art ,Suid     ,MC    ,MC    ,140,1.471235521,1.36,173,8.63,0.60,0.43,1.80,1.02,2.76,1.38,3.73,1.55,1.61,12.70,8.67,11.78,7.79,2.68,1.68,5.98,3.76,12.32,11.50,12.17,5.55,11.94,1.02,7.53
Kobus ellipsiprymnus,Koel  ,Art ,Bovid    ,GG    ,MO    ,160.5,1.844086022,3.47,154,7.44,1.62,0.99,2.19,1.22,2.31,1.18,3.00,1.12,3.88,13.72,7.51,13.02,8.22,2.50,1.68,5.70,5.12,17.44,9.74,15.35,12.60,9.13,5.20,4.66
Kobus kob,Koko  ,Art ,Bovid    ,FG    ,FG    ,58,1.82751938,3.72,143,5.16,0.98,0.81,1.30,0.92,1.58,0.96,2.10,0.88,2.77,9.43,5.80,8.07,6.30,1.60,1.37,3.15,3.44,11.90,5.90,9.96,9.15,5.92,3.79,3.31
Kobus lechwe,Kole  ,Art ,Bovid    ,FG    ,FG    ,87,1.844810863,3.63,148,5.16,0.97,0.70,1.33,0.84,1.56,0.81,2.02,0.75,2.65,9.51,6.23,8.30,6.31,1.55,1.17,3.18,3.61,12.53,5.32,10.48,8.58,6.88,4.06,3.91
Kobus vardoni,Kova  ,Art ,Bovid    ,FG    ,FG    ,70,1.952,4.05,150,5.00,0.91,0.58,1.35,0.90,1.54,0.78,2.05,0.70,2.57,9.76,6.50,8.25,6.40,1.47,1.07,3.09,3.22,13.10,5.50,10.80,9.00,6.84,3.65,3.40
Lama guanicoe,Lagu  ,Art ,Camel    ,MO    ,MO    ,110,1.75431426,3.46,166,5.51,1.14,0.72,1.64,1.00,2.04,1.12,2.61,0.99,1.38,9.66,6.53,9.91,6.32,2.19,1.64,2.87,3.47,15.78,6.18,10.73,9.28,5.36,4.80,3.04
Lama pacos,Lapa  ,Art ,Camel    ,MO    ,MO    ,75,1.4,3.65,163,6.65,1.26,0.32,1.78,1.12,2.17,1.05,2.20,0.80,1.30,9.31,5.55,10.85,6.27,2.21,1.57,2.60,4.24,11.10,6.49,9.34,8.95,4.77,6.43,3.12
Litocranius walleri,Liwa  ,Art ,Bovid    ,HBr   ,HBr   ,34.7,2.161764706,1.32,164,3.51,0.77,0.41,0.95,0.54,1.08,0.59,1.40,0.60,1.89,7.60,4.42,3.53,4.11,1.09,0.81,1.89,2.78,8.31,4.61,9.36,8.24,3.33,2.91,2.63
Madoqua guentheri,Magu  ,Art ,Bovid    ,Ba    ,Ba    ,4,1.558495822,2.57,154,2.39,0.72,0.34,0.71,0.36,0.75,0.38,0.88,0.37,1.70,3.73,1.86,3.18,2.61,0.76,0.56,0.62,1.84,4.58,2.74,3.94,3.63,1.94,1.71,1.15
Madoqua kirki,Maki  ,Art ,Bovid    ,Ba    ,Ba    ,5,1.551658163,2.63,156,2.24,0.61,0.26,0.67,0.32,0.72,0.34,0.83,0.35,1.52,3.48,1.79,2.82,2.53,0.69,0.53,0.47,1.75,4.40,2.59,3.95,3.63,1.77,1.50,1.11
